0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Comedy,Lewis Black,Air Traffic Control,66CmHnb50cdmdrmjHXkYy6,18,0.825,0.478,570387,0.851,0.0,C#,0.698,-9.329,Minor,0.929,80.843,3/4,0.0396
Movie,Nicole Kidman,Unusual Way,0l7o9EduTWpI2hHfwnu6ae,27,0.835,0.307,206040,0.153,1.01e-06,F,0.117,-13.752,Minor,0.0312,101.268,4/4,0.139
Reggaeton,Plan B,Me Arrepiento,0yQRj5qCgtjdLHYLjSrDPv,19,0.00551,0.78,146880,0.801,0.0,C#,0.161,-6.255,Major,0.069,102.91,4/4,0.9
Movie,Randy Newman,The Old Farm 1939,4ZbQx0RDusa0xJOtJdM9O4,12,0.977,0.24,70440,0.033,0.884,D#,0.171,-28.346,Major,0.039,78.531,5/4,0.0657
Rock,The Strokes,What Ever Happened?,78Gzxi27GuNHTfkn2BylG4,56,9.67e-05,0.547,169273,0.599,0.679,B,0.229,-6.057,Major,0.0344,116.165,4/4,0.587
R&B,J. Holiday,Suffocate - Superclean,3nJjIYchBNkYm7B8XfJf5N,60,0.64,0.458,220053,0.445,0.0,A,0.118,-8.391,Minor,0.361,82.82,5/4,0.447
Reggae,Tribal Seeds,Representing (feat. Vaughn Benjamin),1xnvovjMT34J9hv63TobRV,39,0.0928,0.538,248560,0.629,0.000291,G,0.0924,-6.443,Major,0.265,68.373,4/4,0.627
Classical,Lalo Schifrin,Main Title,2GPrpiCHSrkolnMOPM28V4,28,0.984,0.33,126627,0.299,0.867,D,0.0993,-11.15,Major,0.0309,206.134,4/4,0.627
Jazz,BluntOne,Stam Slap,4nEM9gl4EzMMhSuu0KlUQ5,35,0.151,0.817,88448,0.623,0.847,C,0.136,-6.911,Major,0.0521,87.261,4/4,0.688
Reggae,Aidonia,Breeze,1yBRYW5mvJUhzPgvmBICUD,43,0.289,0.867,152549,0.925,0.0,D,0.309,-3.435,Major,0.319,106.874,4/4,0.806
Ska,The Cat Empire,Bow Down to Love,5fS57xorKUbXtEgO5XJxvy,44,0.336,0.615,229467,0.862,0.0343,C,0.0721,-7.151,Major,0.0347,124.636,4/4,0.96
Pop,Kodaline,High Hopes,5rZXBHUU2qz7huEckTwpqo,60,0.577,0.488,230267,0.487,0.0,E,0.193,-6.371,Major,0.0307,77.344,4/4,0.217
Anime,Aimer,Higher Ground,7tV3fI99dJKjr8AmPJx99w,30,0.113,0.473,314187,0.739,0,G#,0.0949,-5.387,Major,0.0266,143.972,4/4,0.341
Reggaeton,La Melodia Perfecta,Que Pasa,3zjXp9JV5vA1FuzNUaEwin,28,0.777,0.527,238238,0.359,5.29e-06,A,0.137,-9.835,Minor,0.047,144.107,4/4,0.316
Opera,Giacomo Puccini,"Manon Lescaut, Atto II: ""Ah! Manon mi tradisce""",45xAEirpx3nSRbMzrbZS6W,16,0.987,0.183,159133,0.254,0.54,D,0.144,-14.595,Minor,0.0459,48.965,4/4,0.153
Childrenâs Music,French Horn Rebellion,Caaalifornia,0Lz0VvjdDvO8LaUOPW94iT,48,0.0241,0.714,229239,0.815,0.0542,A,0.0917,-4.472,Major,0.0536,114.994,4/4,0.943
Rock,The White Stripes,Blue Orchid,2b0AarwIy6Dr0oJeAhc80s,56,0.0875,0.482,157560,0.642,7.34e-06,A#,0.31,-8.535,Minor,0.325,151.323,4/4,0.6
Rap,Chris Brown,Little More (Royalty),4lvQiZUhHgG8Oldd8S97hd,57,0.0195,0.632,260453,0.516,0.0,F#,0.139,-8.088,Major,0.035,133.71,4/4,0.328
Country,Rodney Atkins,Angel's Hands,2rvcZirrl5lwaNIoIpfDNx,35,0.0594,0.542,209067,0.628,0,D,0.137,-5.907,Major,0.0318,142.094,4/4,0.49
Soundtrack,Michael Giacchino,Memory Lanes,6nd3tzlaXNi1qK84h1pqln,27,0.536,0.402,82427,0.293,0.0129,B,0.0866,-17.216,Minor,0.0504,169.879,3/4,0.0912
Indie,The Head and the Heart,Cats and Dogs,0Kqd8fIPTri9IYpaWwunkP,48,0.522,0.669,115520,0.444,1.28e-06,F,0.165,-8.652,Major,0.0584,179.932,4/4,0.771
Rap,Nicki Minaj,Fly,5Fx2DfzfEm5KruaIsOC6xD,56,0.0148,0.664,212920,0.848,0.000118,A#,0.1,-4.926,Major,0.0386,119.878,4/4,0.196
Children's Music,Toddler Tunes,Baby Shark (The Shark Song),0BnTI0w7x5f5PPlWQzJFjo,40,0.00809,0.679,121500,0.31,0.0,G,0.103,-11.959,Major,0.0901,146.396,1/4,0.85
Soul,Hank Jones,Eleanor,082zyi189u5lRp2gPkE8Lb,47,0.971,0.45,289693,0.0437,0.88,A#,0.0948,-29.46,Major,0.0374,63.938,4/4,0.0988
Alternative,Monsieur PerinÃ©,Bailar Contigo,29iNhnoFkQBvOlUKn2io14,60,0.728,0.796,220720,0.631,0.0022,C#,0.151,-7.623,Minor,0.0479,100.996,4/4,0.684
Anime,Hanako Oku,Kimi no Hana,3ZDfOBgvyRCCH6P78xxv3l,13,0.399,0.478,264480,0.788,0.0173,G,0.0989,-4.586,Major,0.0295,154.054,4/4,0.489
Opera,Jean-Philippe Rameau,"Pieces de clavecin en concerts: Concert No. 1 in C Minor: III. Le Vezinet (Gaiement, sans vitesse)",4zS7iHEoWCfO35pETh8SZd,17,0.844,0.362,211680,0.33,0.000616,B,0.336,-15.117,Major,0.0357,96.799,4/4,0.577
Electronic,Thievery Corporation,Bateau Rouge (feat. Lou Lou Ghelichkhani),6MRFVyUE36WEuz1qLG492I,34,0.3,0.721,249952,0.675,3.06e-05,A,0.104,-8.894,Minor,0.0314,152.994,4/4,0.856
Soundtrack,Steve Jablonsky,The Shard,3DesLW867MH9rRqkd4TjeX,30,0.182,0.47,162360,0.723,0.754,G,0.104,-13.246,Major,0.066,135.422,4/4,0.0719
Hip-Hop,Ja Rule,Down A** B**ch,4Z69sHFf60gZbdgdd9sBBq,53,0.337,0.7,331133,0.644,0.0,C#,0.242,-6.621,Minor,0.236,87.667,4/4,0.587
Reggae,Danakil,33 mars,7AwyZjev9i8qzIY3JctxfD,45,0.126,0.759,200815,0.718,1.71e-06,B,0.206,-6.971,Minor,0.117,154.003,4/4,0.647
World,Yasmin Levy,Mi Korason,2xiEksxtxbaIRESGkZEgMD,19,0.843,0.49,196267,0.318,0.000532,F,0.105,-11.576,Minor,0.0604,173.314,3/4,0.182
Opera,Bryn Terfel,Perhaps Love,2EliUCT5ApsdtFo1CYblyq,36,0.906,0.367,179187,0.215,3.72e-06,A,0.103,-13.824,Major,0.0524,81.367,4/4,0.36
Hip-Hop,Aventura,Por un Segundo,2MioxSroS0g1mi24LLfcnq,68,0.137,0.811,255027,0.562,0.0,F,0.0623,-10.183,Minor,0.0368,129.039,4/4,0.965
Ska,Goldfinger,Is She Really Going Out with Him?,6pM8nIWQSQczmxBHcNJtao,32,0.00935,0.768,188600,0.511,0.0,F,0.0503,-5.928,Major,0.033,125.066,4/4,0.966
Soul,After 7,I Want You,6GCjDvX309LLTXG68ueES6,49,0.0366,0.626,210206,0.794,0.0,F,0.0867,-5.305,Major,0.105,90.407,4/4,0.594
Pop,Naughty By Nature,Feel Me Flow,6Kp8tQd95YPSrSUTkll2Of,66,0.0468,0.805,212560,0.754,1.79e-06,G#,0.0855,-6.679,Minor,0.156,90.214,4/4,0.844
Blues,Nina Simone,Take Care Of Business,2YwjSPeznyCvkUYvqKbXa9,45,0.748,0.65,125960,0.491,0.0,D,0.121,-8.532,Minor,0.0685,102.966,4/4,0.739
Ska,The Bouncing Souls,Satellite,753PHQyUEh9Cu0kVXnpYVw,35,0.00108,0.447,171875,0.88,4.87e-05,C,0.133,-4.275,Major,0.0309,157.857,4/4,0.804
Hip-Hop,Andy Mineo,Family Photo,0YOgv06JGWtA1ZwwiEQD22,46,0.64,0.644,231903,0.393,0.0,D,0.0859,-11.625,Minor,0.213,90.467,4/4,0.25
Rap,Pitbull,Rain Over Me,2cZrrQMjB63c0iIugYH9zS,63,0.00416,0.61,231573,0.906,0.0,C,0.758,-2.117,Major,0.0647,127.917,4/4,0.294
Reggae,Spawnbreezie,No More (Bonus Track),1HxK12nxpne1zhtAj5SAVa,37,0.294,0.507,222772,0.512,0.0,D,0.114,-6.218,Major,0.0555,151.315,3/4,0.696
Comedy,Brian Regan,Stupid In School,0DBSA80o5OUsKMosiIL4Bg,49,0.794,0.512,316560,0.518,0.0,F#,0.681,-15.388,Major,0.921,53.3,4/4,0.278
Childrenâs Music,Radiohead,Lucky,6n7GUf2h8D2Ad2wUy5s7nE,57,0.053,0.206,258813,0.4,0.638,B,0.111,-9.813,Minor,0.0324,133.442,4/4,0.196
Reggae,Maneva,Saudades do Tempo,0eDSQsl69K3uyHXJJVyW3Y,61,0.634,0.777,238890,0.39,0.0,E,0.207,-10.903,Minor,0.224,133.856,4/4,0.688
Rap,T.I.,At Least I Know,5JthbO0b6J6zsuBM9CcXpd,52,0.0539,0.708,323187,0.664,0.0,D,0.124,-6.857,Major,0.124,107.973,4/4,0.404
Movie,Marie-ThÃ©rÃ¨se Orain,La chanteuse,7CUTizlFjc3lhA9YzZxBsi,0,0.918,0.445,303577,0.472,0.0,G#,0.167,-9.593,Minor,0.619,66.5,4/4,0.642
Folk,Neil Sedaka,Calendar Girl,07IBuRx9So9Vo6Q0zfEnsE,51,0.733,0.657,158000,0.513,0.0,C#,0.191,-12.771,Minor,0.0378,122.102,4/4,0.875
Comedy,George Carlin,Third Announcements,33MsVOQVaMGgzC7DIrkeCz,13,0.729,0.657,86373,0.364,0.0,A,0.753,-12.284,Minor,0.949,85.176,5/4,0.799
Pop,BIGBANG,FXXK IT,7uzib3dSSwgUwcD3z0k3bR,68,0.152,0.72,231811,0.746,0.0,C,0.276,-3.143,Minor,0.107,90.026,4/4,0.587
Indie,Blitzen Trapper,Thirsty Man,6ysQEIlw4DYNpkzCx0TvOs,41,0.366,0.723,221027,0.843,0.000347,C,0.145,-6.066,Major,0.034,89.021,4/4,0.951
Reggaeton,Daddy Yankee,Brugal Mix,5C2o3oIjeqlZtSzRMOe6pH,27,0.0607,0.856,104333,0.913,1.57e-06,C#,0.0817,-5.829,Minor,0.105,99.016,4/4,0.92
Pop,Florida Georgia Line,Sittinâ Pretty,2lf3fWzNhL5518BVE9iUlt,62,0.344,0.586,186413,0.939,1.21e-06,C,0.181,-3.252,Major,0.0759,147.894,4/4,0.805
Comedy,Demetri Martin,"Dalmatians, Guts",29l7yYN3U3eUMkcQrh9JSZ,45,0.888,0.417,231053,0.886,0.000186,A#,0.749,-9.993,Minor,0.941,83.995,3/4,0.336
Electronic,Thievery Corporation,Strike the Root,42V5v8hplzGmmFnn4yggK8,48,0.197,0.796,211973,0.514,0.0505,F,0.298,-8.419,Minor,0.0634,76.989,4/4,0.961
Movie,Chantal Goya,C'est guignol (Scream Extended Remix),2YS18bmKCyugC8PBH52lfA,0,0.0101,0.789,253253,0.589,8.48e-05,D,0.0561,-4.947,Major,0.0377,127.993,4/4,0.866
Reggaeton,Farruko,Losing Control (feat. Fetty Wap),6ANAwMQcWtLmjtr6WH0VrP,38,0.0691,0.83,213827,0.607,0.0,C#,0.073,-4.108,Major,0.0456,118.033,4/4,0.46
Comedy,Sam Morril,Sam has questionable judgment,5WD3dFcX6XJwYKRXp5ctNt,18,0.82,0.604,267443,0.741,0.0,A#,0.862,-12.675,Major,0.918,110.256,4/4,0.618
Country,Tim McGraw,Like We Never Loved At All,0tLnImRAO8ig9WHQXmnuU5,34,0.102,0.535,257693,0.471,0,D,0.139,-8.187,Major,0.0278,133.848,4/4,0.272
Opera,AndrÃ© Messager,"Messager: Madame ChrysanthÃ¨me, Act 3: ""Le jour sous le soleil bÃ©ni"" (Madame ChrysanthÃ¨me)",1uGmXl0PnTwMnVbPUwlnY1,24,0.972,0.235,249573,0.101,0.109,C#,0.107,-20.776,Major,0.0477,177.51,3/4,0.046
Rap,Moneybagg Yo,Reflection,1yAHdK6lHqZNV1TsN9xjF1,54,0.0213,0.846,191979,0.617,0.0,C#,0.128,-5.706,Major,0.23,131.956,4/4,0.45
Ska,No Use For A Name,International You Day,2UuD4k7Oyl4l98FOLnEq6U,49,0.0475,0.362,172467,0.981,0.0,G#,0.14,-5.08,Major,0.116,185.962,4/4,0.301
Soundtrack,Ennio Morricone,Toto And Alfredo,1srXI0BmjWb1AOqq0rNvRI,35,0.911,0.523,79973,0.087,0.331,A#,0.0756,-24.852,Major,0.0373,80.136,4/4,0.729
R&B,Star Cast,"Aim x Shoot - From âStar"" Season 2",1tmQg3kXproCxu39rVPZBL,43,0.164,0.545,149253,0.423,0.0,A#,0.0858,-8.773,Major,0.0781,125.001,3/4,0.254
Reggae,Tribal Seeds,In Your Eyes,2bbF0vktxLmFYOrYCeYBiF,54,0.0735,0.844,305630,0.494,0.000193,C#,0.0683,-9.398,Major,0.0667,140.999,4/4,0.873
Alternative,The Black Keys,You're the One,1ZJf6hZVPU1NoOPS5ThJvA,44,0.822,0.594,208227,0.462,0.00186,G,0.123,-10.218,Major,0.0403,128.516,4/4,0.529
Folk,Andrew Belle,Details,6nkiE9nZdyxQ6KtEb1uJq8,41,0.115,0.647,229224,0.901,0.00405,D,0.178,-6.26,Minor,0.0536,134.957,4/4,0.584
Comedy,Bill Hicks,Yul Brynner,5ikN10ze7dNNl5SwL7ZGMn,17,0.921,0.57,85133,0.773,0.0,A#,0.76,-12.502,Minor,0.921,94.395,3/4,0.318
Ska,Inspector,Y QuÃ©,6fWYQelTsxCkQT1olYYbaz,42,0.0394,0.474,275987,0.774,1.18e-05,B,0.175,-5.617,Major,0.0532,137.15,4/4,0.317
Folk,Alanis Morissette,Ironic - 2015 Remaster,1d6KS9GH06JAd19uiBy9IE,71,0.218,0.408,230000,0.582,0.0,B,0.159,-8.305,Major,0.0508,114.926,5/4,0.365
R&B,Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),6lrRIfQDcikJ5y5DtyZPuJ,64,0.231,0.646,223973,0.6,0.0,A,0.0794,-6.569,Major,0.458,192.082,4/4,0.811
Classical,Arthur Rubinstein,Polonaise F Op.44,2lGwj2ylzgX1StYu5zkxae,35,0.974,0.33,535000,0.174,0.866,F#,0.112,-19.06,Minor,0.0346,64.532,4/4,0.252
Anime,DREAMS COME TRUE,Ureshi Hazukashi Asagaeri,1Ed6nNHSvAMZ51Nhs1Eocc,21,0.222,0.719,261907,0.689,2.1e-05,F,0.195,-10.149,Major,0.0312,133.289,4/4,0.931
Comedy,Gabriel Iglesias,The Bear Community,6UTe71QV5ty86jG1hRPzOE,34,0.863,0.509,269280,0.928,0.0,D,0.957,-3.815,Major,0.897,79.92,4/4,0.525
Reggaeton,Daddy Yankee,DarÃ­a,3UOpJnNS6V621RaLNj3YfO,42,0.117,0.712,216453,0.878,0.0,A#,0.102,-6.454,Minor,0.0633,98.989,4/4,0.818
Reggae,Pj Sin Suela,La .44,2VY9TY68KPhrXILW8sNMWi,22,0.858,0.791,190000,0.609,1.25e-06,G,0.107,-7.351,Major,0.187,119.832,4/4,0.357
Alternative,Unspoken,Start A Fire,5y8qfDDccV2kEn4roGPter,54,0.00215,0.524,184733,0.877,0,C#,0.182,-5.157,Major,0.0414,81.991,4/4,0.566
Indie,Marietta,Cinco De Mayo Shit Show,6Xaj8GsQdL80McMIBW9IzJ,47,0.0516,0.276,271339,0.637,0.0153,C,0.683,-8.904,Major,0.0319,137.861,4/4,0.403
R&B,Leona Lewis,Footprints in the Sand,4QOJF00kfJNF5qqM4U669Z,59,0.694,0.507,247440,0.448,0.0,G#,0.114,-5.166,Major,0.0281,119.934,4/4,0.123
Childrenâs Music,Modern Baseball,Your Graduation,2J1t2b8xPBqZzj5znx0C7C,59,0.001,0.395,163760,0.902,0.0,G#,0.327,-5.808,Minor,0.176,184.737,4/4,0.632
Jazz,Perry Como,Magic Moments (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),7tRKgHo6gCKCVve8LWPLM8,51,0.926,0.7,158560,0.251,3.26e-05,B,0.215,-14.981,Minor,0.0479,104.147,4/4,0.701
Indie,Gallant,Gentleman,3MoIvDgJqKIfta5V5x7Lc6,53,0.717,0.356,284092,0.322,0.0,E,0.102,-11.063,Minor,0.0959,96.008,4/4,0.292
Country,Thomas Rhett,Take You Home,0mahSEa17a2ouPEY9gPTTW,49,0.0985,0.577,217547,0.803,0.0,A,0.108,-6.305,Major,0.0347,151.115,4/4,0.735
Hip-Hop,Dave East,Levelin Up (feat. Fabolous),72pB6QZFMEO4re49LxEiBv,51,0.309,0.607,279876,0.744,0.0,C#,0.157,-4.18,Major,0.281,130.386,4/4,0.0773
Childrenâs Music,Grizzly Bear,Mourning Sound,0szSOfZVM3G5mWI1ogQjr7,60,0.15,0.507,262107,0.737,0.159,G,0.122,-6.332,Major,0.0624,128.015,4/4,0.441
Anime,UVERworld,Hakuchuumu,4PVifIyMK2dfqzQnhLl64n,26,0.00376,0.345,201707,0.872,0,G#,0.0573,-3.955,Major,0.0932,89.981,4/4,0.528
World,Christy Nockels,River of Grace,46kZhvM2ms6pIXP8Mc04Tr,59,0.828,0.521,232653,0.396,0.000766,B,0.1,-10.654,Major,0.0468,77.046,4/4,0.398
Rock,Nine Lashes,Anthem Of The Lonely,1bKRtH1leT7y003VikaXUc,58,0.000364,0.349,241760,0.972,0.0,A#,0.119,-3.144,Minor,0.0951,196.216,4/4,0.652
Children's Music,The Hit Crew Kids,Addams Family Theme,1WZ5xx9mNiQ7S2oVrOkVX2,5,0.472,0.635,85760,0.31,0.0,F,0.0686,-13.034,Major,0.0524,61.344,4/4,0.714
Anime,KANA-BOON,1.2. Step to You,1k4PnIX7JyoisEfVz3mJ01,25,0.000801,0.476,244924,0.872,0.000142,A,0.36,-3.221,Major,0.0797,169.941,4/4,0.817
Anime,Shiro Sagisu,Showdown,3eMQwqOdfUiVcmK8KygGbv,19,0.506,0.616,122000,0.638,6.19e-06,C#,0.148,-9.928,Minor,0.0376,128.001,4/4,0.834
Ska,Bomb the Music Industry!,Big Plans of Sleeping In,2nSLZkC5kixs7zuIYaIpOW,19,0.0489,0.251,120400,0.883,0.0,G,0.504,-2.973,Major,0.154,79.207,4/4,0.45
Rock,Josh Turner,Lay Low,5CdOqNxkQ7054Rp86f5OWi,54,0.0887,0.626,260853,0.691,9.63e-05,B,0.115,-5.873,Major,0.0283,109.005,4/4,0.396
Electronic,Seven Lions,Cold Hearted,67o4NHPeKGTkNuKnrojUc1,51,0.000521,0.436,272951,0.938,0.00907,D,0.344,-3.534,Major,0.0917,149.993,4/4,0.131
Anime,Ryuichi Sakamoto,A Hearty Breakfast,6gwXiuudVNIuxmfRgM6cHE,9,0.991,0.551,83587,0.0304,0.857,B,0.0969,-21.025,Minor,0.358,169.296,4/4,0.382
Ska,Brujeria,Revolucion,5a07YdW2Axhkn0Rlq8MCLr,31,0.0014,0.29,199000,0.938,6.02e-05,C,0.397,-8.437,Minor,0.163,158.427,4/4,0.273
World,Mosaic MSC,Your Love - Live,5YEKGSshhzQsnysq5LpbDL,25,0.000767,0.476,279910,0.989,0.0,C,0.86,-3.539,Major,0.0741,140.011,4/4,0.218
Dance,Ricky Martin,La Mordidita,00i0O74dXdaKKdCrqHnfXm,69,0.0344,0.725,211680,0.903,0,C,0.183,-2.955,Major,0.0658,142.006,4/4,0.946
Dance,JP Cooper,Momma's Prayers,482wtNOgjcKepFrwPeIT5Q,55,0.519,0.471,305583,0.527,2.83e-06,A#,0.138,-9.901,Major,0.0523,79.193,4/4,0.235
Country,Eric Church,Three Year Old,579wiJu8HXaGXod6rU3NiB,51,0.735,0.725,226827,0.321,0.00105,A#,0.0987,-14.517,Major,0.055,76.968,4/4,0.576
Anime,"Fear, and Loathing in Las Vegas",The Courage to Take Action,52FA2sTDj1HyMs8naVcSEi,20,6.2e-05,0.241,195067,0.982,0.000149,A#,0.0497,-0.096,Minor,0.134,99.578,4/4,0.268
Rock,Dispatch,The General,6n6EXIwLtNwe4u4CFzENYm,61,0.446,0.541,246920,0.675,0.0,A#,0.107,-6.136,Major,0.192,91.09,4/4,0.686
Alternative,Souly Had,Hills,0P05aBVzHghe9IsdOAkZps,37,0.111,0.819,170960,0.442,0,F,0.0961,-7.66,Major,0.406,145.976,4/4,0.758
R&B,Jacquees,Before The Fame,7MgWIFAisAvVwUAKZsNM7t,55,0.0112,0.83,220480,0.65,0.0,G#,0.0938,-5.074,Major,0.116,140.004,5/4,0.104
Opera,Richard Wagner,"GÃ¶tterdÃ¤mmerung, WWV 86D: Siegfried's Funeral March - Live",5TFqY75WZqqUdIQGXNdG8u,18,0.883,0.152,549041,0.00507,0.918,F,0.117,-25.974,Minor,0.0372,69.683,3/4,0.0373
Opera,Francesco Cavalli,"Le nozze di Teti e di Peleo, Atto II Scena 11: Mira questi duo lumi",0ZVIq1b7YBqGzOXueYbTFy,10,0.96,0.301,343659,0.0189,0.000356,E,0.114,-27.827,Major,0.0436,110.412,3/4,0.076
Blues,Howlin' Wolf,Smokestack Lightnin',2HUZVffVPXvqnrml0gXggp,54,0.844,0.661,188400,0.342,0.000128,A,0.26,-16.361,Minor,0.043,146.118,4/4,0.588
Dance,P!nk,Stupid Girls,1lsMTPcfQRj0NcIiDjWoNM,55,0.000795,0.686,196173,0.883,0.00131,E,0.0666,-5.055,Minor,0.061,100.035,4/4,0.581
Comedy,Doug Stanhope,Hangover,5aL8Nz1SqJWotGYDG3BWDW,26,0.8,0.495,199080,0.564,0.0,E,0.896,-17.46,Major,0.94,76.709,4/4,0.398
Childrenâs Music,Soundgarden,Outshined,4VwPsMcRt1HPVKIdcwY9Uj,64,0.000197,0.316,311000,0.842,0.0109,C,0.119,-6.046,Major,0.042,189.161,3/4,0.541
World,Hillsong Worship,The First Noel (Holy Is The Lord),4GTicXXqJlhjDgfk45f5zR,20,0.551,0.46,280507,0.652,4.74e-06,E,0.143,-6.776,Major,0.037,120.066,3/4,0.364
Folk,Glen Hansard,Falling Slowly,6EIVLz5xM1xE29r0OmIkWt,65,0.679,0.34,244133,0.209,0.000443,C,0.101,-11.869,Major,0.0279,137.042,4/4,0.151
Childrenâs Music,Brent Faiyaz,Talk 2 U,1Xm9CQRcJbOgTCpKCpS9s5,63,0.14,0.688,159485,0.634,0.000263,F,0.253,-10.443,Minor,0.0929,88.018,4/4,0.561
Children's Music,The Hit Crew Kids,Jingle Bells,6k7ggofd8SNZRJGrVnQIKP,0,0.235,0.37,129453,0.76,0.0,G#,0.0825,-5.15,Major,0.032,180.444,4/4,0.969
Ska,Mustard Plug,Just a Minute,6S82uTUdMsequoEGrUW1D3,17,0.0115,0.608,174733,0.973,0.173,B,0.306,-3.657,Major,0.12,106.23,4/4,0.65
Hip-Hop,Wale,Running Back (feat. Lil Wayne),2h3i5tGUl6hMu572umjcGo,62,0.0823,0.587,215360,0.671,0.0,D,0.161,-4.48,Major,0.144,127.133,4/4,0.1
Ska,NOFX,Go to Work Wasted,0UACvrhxo4lHpieV2vP3qB,21,0.00155,0.32,61307,0.715,1.36e-05,C,0.53,-7.3,Major,0.134,153.225,4/4,0.248
Reggaeton,Ozuna,Devuelveme,5uvucCRBTkxv7VxIDLOqe7,82,0.554,0.744,188907,0.769,6.96e-06,B,0.102,-4.112,Major,0.156,176.002,4/4,0.784
Opera,Giacomo Puccini,Nessun dorma,1TT20IVLFbPI874lZ8M0K8,5,0.971,0.229,189000,0.285,3.21e-05,D,0.074,-11.172,Major,0.0326,100.973,1/4,0.144
Alternative,MISSIO,The Darker The Weather // The Better The Man,60JeC08kgv03TAcFZcJth6,43,0.0261,0.483,227253,0.784,0.000139,B,0.229,-5.851,Minor,0.0387,79.987,4/4,0.512
Classical,Gustav Mahler,Symphony No. 5 in C-Sharp Minor / Pt. 1: 2. StÃ¼rmisch bewegt. Mit grÃ¶Ãter Vehemenz - Bedeutend langsamer - Tempo I subito - Live,0DnlPEo88IJN3TU2lFyugf,25,0.88,0.134,900888,0.268,0.669,A#,0.217,-17.324,Minor,0.0445,85.992,3/4,0.0804
Folk,SYML,Where's My Love - Alternate Version,1BwBeG8Pae6uHp3w29AHvi,63,0.904,0.376,248333,0.219,0.0194,C,0.108,-11.805,Minor,0.0319,103.719,4/4,0.159
Electronic,Ulrich Schnauss,Goodbye,1M0APSHnhY6TXa2vLjnTV9,26,0.264,0.411,475507,0.528,0.972,F,0.0847,-13.807,Minor,0.0288,143.965,4/4,0.37
Soul,Mez,The Shift,5NhqdHEGfM78WWnJARI0iM,46,0.375,0.546,271095,0.636,5.63e-06,E,0.0894,-8.354,Major,0.314,138.275,4/4,0.339
Rock,"Phillips, Craig & Dean",When The Stars Burn Down (Blessing and Honor),1U4TLf26nXszBkwWwrq7jl,57,0.046,0.397,302347,0.742,2.23e-06,A,0.117,-5.749,Major,0.0335,147.961,3/4,0.17
Alternative,Demob Happy,Less Is More,32rG7MMvXotrLIVSGHAN5W,49,0.00378,0.529,180000,0.743,5.46e-06,C#,0.0432,-6.865,Major,0.091,112.985,4/4,0.616
Rap,Tory Lanez,TAlk tO Me (with Rich The Kid),2cRgo1TiPm7SnPvYzvbOLf,76,0.0591,0.731,184490,0.657,0.0,C,0.0874,-8.56,Major,0.0434,159.97,4/4,0.49
Reggaeton,Corina Smith,Mas,2CYY957xtfr1XyDYpH7wYr,37,0.365,0.622,219194,0.842,2.54e-05,C,0.116,-1.897,Major,0.112,199.968,4/4,0.729
Country,Maren Morris,I Wish I Was - Bose City Sets,6uI411gHaNnTtU3dtBrCfQ,35,0.299,0.64,240493,0.574,1.18e-06,B,0.102,-7.645,Major,0.0323,84.994,4/4,0.579
Anime,May J.,ã­ã³ã,5CKN4V0BzibSVYuM9AhKU1,28,0.73,0.484,312744,0.467,0.0,A#,0.0832,-6.573,Major,0.0323,141.588,4/4,0.205
Reggae,Slim Smith,People Get Ready,2iTCSbVD34S00OVlQDqU5j,41,0.679,0.568,157973,0.417,0.0895,C,0.105,-6.737,Major,0.171,176.844,4/4,0.876
Childrenâs Music,Jimmy Eat World,A Praise Chorus,0AKQXEIBbhdoa2PKfcQf88,48,0.0277,0.449,243507,0.923,1.32e-05,D,0.233,-5.26,Major,0.0719,184.232,4/4,0.573
Childrenâs Music,Of Monsters and Men,Slow And Steady,2PfnAaQIMwHPvmda8MG5jm,55,0.0227,0.322,301613,0.808,0.132,B,0.403,-7.098,Major,0.0617,116.535,4/4,0.417
Hip-Hop,Merkules,This Again,0Xfaw3CcpLphgkTLiCs2FP,49,0.176,0.787,270322,0.406,0.0,B,0.0861,-10.962,Minor,0.0461,114.012,4/4,0.146
Comedy,Eddie Izzard,I've Got A Bad Feeling,0xssiZv7D9kYTcfmGhTKZg,12,0.792,0.537,148467,0.812,0.0,F#,0.725,-18.37,Major,0.922,106.982,4/4,0.181
Anime,GARNiDELiA,Poppin' Trip,6NFSa4TdDrlwSblx6ocLic,26,0.0116,0.528,229867,0.998,0.102,B,0.377,-1.609,Minor,0.12,150.061,4/4,0.505
Movie,Bruno Pelletier,"La maison sous les arbres (TirÃ© du film ""La maison sous les arbres"")",5igbIomiIQUHOrbC4vsqjK,7,0.928,0.354,227307,0.0371,5.99e-06,C,0.186,-18.112,Minor,0.0337,75.099,4/4,0.122
Comedy,Anjelah Johnson,Puerto Rican In-Laws,1Lpo1udfCVho9crP4s1lUw,15,0.813,0.566,185569,0.527,0.0,F#,0.641,-13.815,Major,0.956,71.316,4/4,0.108
Reggae,Iration,Summer Nights - Acoustic,1WCGEFTqT8MYzUelvgHLdy,34,0.689,0.755,222933,0.339,0.0,A,0.107,-6.547,Major,0.0383,133.793,4/4,0.777
